"","L2/3","Oligo_1","AST-PP","OPC_1","L4_1","IN-VIP","L4_2","IN-PV","Neu-NRGN-II","Oligo_2","Microglia","IN-SST","L5/6-CC","IN-SV2C","L5/6_1","Endothelial","L5/6_2","OPC_2"
"SYTL5",-0.1443511,-0.1561957,-0.1534483,-0.1562239,-0.1469091,0.6434317,-0.150121,0.7650589,-0.1478916,-0.1576097,-0.1563159,0.8200211,0.1363736,0.4547504,-0.1490886,-0.1289375,-0.1418225,-0.1635387
"LINC00200",-0.106338,-0.02834609,-0.08012119,0.09219128,-0.113082,0.8047476,-0.1051439,-0.1113374,-0.1311184,-0.06888074,-0.06727278,-0.1200428,-0.1045588,0.7890516,-0.1033053,-0.1021141,-0.1042511,0.1647775
"SLC5A8",0.04519419,-0.127361,-0.1274573,-0.125389,-0.1229786,0.789596,-0.1018694,0.1054539,-0.120542,-0.1299636,-0.1215776,-0.01385356,-0.1070125,-0.0949506,0.1774217,-0.1210177,1.351193,-0.1314194
"LINC00970",0.3349528,-0.2523146,-0.2856721,-0.2814071,0.3360893,0.3349346,0.2545417,0.08534509,-0.2899309,-0.2245712,-0.2847727,-0.2132032,0.1623436,-0.2316143,0.4013301,-0.2868417,0.5604865,-0.2740538
"KCNK2",-0.1819481,-0.210786,-0.20965,0.1734987,0.07924238,0.4281988,0.7182676,0.0264673,-0.1180307,-0.2168647,-0.205809,0.5397512,-0.0487518,-0.2101647,0.8859524,0.08273547,-0.1934917,0.0492826
"AC020930.1",-0.07733521,-0.07241495,-0.0006557848,-0.04915313,0.04398688,0.7966618,-0.07306827,-0.08864435,-0.0933716,-0.08127108,-0.09350918,-0.08416223,-0.06508495,-0.05246974,-0.08048253,-0.09466143,-0.08149871,0.04042906
"AL357873.1",0.02947068,-0.288293,-0.2939762,-0.209394,0.3355673,0.4886328,0.07050617,0.8466256,-0.2941929,-0.3030222,-0.2976237,0.1767763,0.2879251,0.6235226,0.003783623,-0.2635806,0.1224225,-0.2676064
"ARHGAP18",-0.05157025,-0.1977463,-0.1823541,-0.1274009,0.1336207,0.5354439,-0.006196955,0.1113231,-0.1766329,-0.197972,0.5445219,0.009105211,0.4803266,-0.1728922,0.03531269,0.5041051,0.4612562,0.2271634
"AC139720.1",-0.007864595,-0.2035271,-0.1528992,-0.1047568,0.2623729,0.5865895,-0.1141679,0.4733505,-0.2196238,-0.2190078,-0.2153787,-0.08408429,0.295373,0.4724496,-0.02570433,-0.1153633,0.2341739,0.05290865
"NDST4",-0.1138515,-0.1203275,-0.122985,-0.02429951,-0.1145071,0.5404415,-0.04446138,0.6063177,-0.1208428,-0.1265792,-0.1186653,0.5818386,-0.1072805,0.02434719,-0.1144198,-0.1010638,-0.1096303,0.08591777
"SLC32A1",-0.1359067,-0.1353013,-0.1363509,-0.1371745,-0.1326353,0.6079226,-0.1351894,0.7318951,-0.1024345,-0.1206239,-0.123222,0.4384997,-0.1324953,0.828013,-0.1311172,-0.12624,-0.1422161,-0.1193272
"GPRIN3",-0.1718886,-0.2199245,-0.206494,0.09338315,0.01178211,0.3969755,0.2201351,-0.05058115,-0.1110499,-0.225953,0.991865,0.4830319,-0.1092211,-0.06846469,0.2465979,-0.1581834,1.758263,0.1984731
"AL356108.1",-0.06260885,-0.09386872,-0.07358207,-0.004517456,-0.03566538,0.6432515,-0.02792034,0.04665331,-0.1013972,-0.09656028,-0.01816681,-0.002404444,-0.05050512,0.07082228,-0.02851719,-0.0594418,-0.00656795,0.01838091
"SVIL",0.02599501,-0.2107653,-0.1680741,0.143288,-0.05653806,0.3689142,-0.07300966,0.3277933,-0.2123319,-0.2233157,-0.1582918,0.07033715,-0.02466489,0.4504066,-0.03787891,1.882081,-0.03304205,0.07199132
"KAZN-AS1",0.0294507,-0.25914,-0.2589994,-0.207737,0.2819593,0.4107578,0.06281053,0.7300741,-0.2557553,-0.2675664,-0.2611351,0.1477215,0.3269441,0.6181589,0.02756988,-0.2227967,0.09903112,-0.2513042
"FREM1",-0.07392289,-0.1950579,-0.1047272,-0.1152481,0.006902602,0.3262169,0.08688213,-0.06877692,-0.1996134,-0.1950418,-0.1936266,0.3915224,-0.03579783,2.305693,0.06427414,-0.03054161,0.1501843,-0.1595632
"PCP4L1",-0.1546484,-0.160196,-0.161669,-0.1085027,-0.1585416,0.422284,0.1410116,0.4867814,0.03678322,-0.1675159,-0.1473371,0.403696,-0.1541808,1.387183,-0.03520276,-0.1362711,0.3091147,-0.1312412
"LINC02082",-0.07775881,-0.104892,-0.1166156,0.01628005,-0.04983966,0.4982116,-0.1162885,-0.09604412,-0.1179983,-0.1147894,-0.1190954,-0.0740754,0.07357537,0.4807793,1.25398,-0.03577852,0.1343828,0.01451566
"PTGFR",-0.05995197,-0.07283569,-0.07265653,-0.07125514,-0.0642062,0.7005956,-0.06526939,-0.06453523,-0.07168444,-0.0758119,-0.06791088,-0.05184844,-0.05663124,0.04928346,-0.03043803,0.1022576,-0.06540338,-0.0758119
"AC079148.3",-0.09206408,-0.08715636,-0.09790506,0.01412667,-0.0871345,0.4289926,-0.09536956,0.5729554,-0.09703574,-0.08157074,-0.09265125,0.07935338,-0.08799391,0.02480877,-0.09512491,-0.06079601,-0.09238987,0.2382088
"CD24",-0.08273769,-0.1171314,-0.1071165,-0.08869683,0.3213008,0.3791147,0.1754085,-0.02703503,0.04764797,-0.1175068,-0.1061676,0.01466376,-0.03725141,0.315076,-0.03701271,-0.09321844,-0.08604868,-0.09322115
"SMYD2",0.07987148,-0.266129,-0.2488848,-0.2447195,0.13099,0.267943,0.8882755,-0.1046041,0.176126,-0.2490495,-0.1180509,-0.1280459,0.1398515,0.1241637,0.02463314,0.03690773,0.5256605,-0.2620738
"FKBP5",-0.06681386,0.1460193,0.1839508,0.1662335,-0.2833558,-0.3201645,-0.3346807,-0.3508236,-0.3396389,0.3902578,1.365965,-0.3541441,-0.02242856,-0.3509756,-0.04673376,0.3469697,-0.3532968,0.06699034
